id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
6501,AES-128-GCM,16,1742,4444,2636,0,752,111.6,119.6,522,560,38,141,117.3,125.3,548.283232,585.6768028,37.39357081,0.001742,37.39357081,3388
6601,AES-128-GCM,16,1740,4444,2664,0,752,114.6,120.4,534,564,30,142,120.3,126.1,562.305821,589.4161599,27.11033884,0.00174,27.11033884,3416
6701,AES-128-GCM,16,1740,4444,2844,0,752,112.7,120.7,528,564,36,143,118.4,126.4,553.424848,590.8184188,37.39357081,0.00174,37.39357081,3596
6801,AES-128-GCM,16,1742,4444,2636,0,752,114.6,120.2,534,560,26,144,120.3,125.9,562.305821,588.4813206,26.17549957,0.001742,26.17549957,3388
6901,AES-128-GCM,16,1741,4444,2860,0,752,116.8,121.3,548,566,18,145,122.5,127,572.589053,593.6229366,21.03388358,0.001741,21.03388358,3612
7001,AES-128-GCM,16,1741,4444,2636,0,752,116.8,122.2,548,570,22,146,122.5,127.9,572.589053,597.8297133,25.2406603,0.001741,25.2406603,3388
7101,AES-128-GCM,16,1742,4444,2860,0,752,114.9,120.5,538,564,26,147,120.6,126.2,563.7080799,589.8835795,26.17549957,0.001742,26.17549957,3612
7201,AES-128-GCM,16,1741,4444,2636,0,752,118.1,122.6,550,574,24,148,123.8,128.3,578.6655083,599.6993918,21.03388358,0.001741,21.03388358,3388
7301,AES-128-GCM,16,1742,4444,2636,0,752,115.1,121.3,538,566,28,149,120.8,127,564.6429192,593.6229366,28.98001738,0.001742,28.98001738,3388
7401,AES-128-GCM,16,1741,4444,2636,0,752,118.1,122,550,570,20,150,123.8,127.7,578.6655083,596.894874,18.22936577,0.001741,18.22936577,3388
7501,AES-128-GCM,16,1742,4444,2636,0,752,113.8,120.4,530,564,34,151,119.5,126.1,558.5664639,589.4161599,30.84969592,0.001742,30.84969592,3388
7601,AES-128-GCM,16,1741,4444,2844,0,752,118.3,121.7,554,566,12,152,124,127.4,579.6003475,595.4926151,15.89226759,0.001741,15.89226759,3596
7701,AES-128-GCM,16,1742,4444,2636,0,752,116.8,122.2,544,570,26,153,122.5,127.9,572.589053,597.8297133,25.2406603,0.001742,25.2406603,3388
7801,AES-128-GCM,16,1740,4444,2616,0,752,112.3,120.2,524,560,36,154,118,125.9,551.5551694,588.4813206,36.92615117,0.00174,36.92615117,3368
7901,AES-128-GCM,16,1742,4444,2636,0,752,117.6,120.5,550,564,14,155,123.3,126.2,576.3284101,589.8835795,13.55516942,0.001742,13.55516942,3388
8001,AES-128-GCM,16,1741,4444,2620,0,752,112,120.4,524,564,40,156,117.7,126.1,550.1529105,589.4161599,39.26324935,0.001741,39.26324935,3372
8101,AES-128-GCM,16,1742,4444,2788,0,752,112.9,120.9,528,564,36,157,118.6,126.6,554.3596872,591.753258,37.39357081,0.001742,37.39357081,3540
8201,AES-128-GCM,16,1742,4444,2640,0,752,117.2,120.9,548,564,16,158,122.9,126.6,574.4587315,591.753258,17.2945265,0.001742,17.2945265,3392
8301,AES-128-GCM,16,1741,4444,2636,0,752,115.9,120.5,540,564,24,159,121.6,126.2,568.3822763,589.8835795,21.50130321,0.001741,21.50130321,3388
8401,AES-128-GCM,16,1742,4444,2636,0,752,114.8,121.1,538,566,28,160,120.5,126.8,563.2406603,592.6880973,29.44743701,0.001742,29.44743701,3388
8501,AES-128-GCM,16,1742,4444,2860,0,752,117.6,120.7,550,564,14,161,123.3,126.4,576.3284101,590.8184188,14.49000869,0.001742,14.49000869,3612
8601,AES-128-GCM,16,1742,4444,2636,0,752,114.9,122,538,570,32,162,120.6,127.7,563.7080799,596.894874,33.18679409,0.001742,33.18679409,3388
8701,AES-128-GCM,16,1742,4444,2620,0,752,111.8,120.2,522,560,38,163,117.5,125.9,549.2180712,588.4813206,39.26324935,0.001742,39.26324935,3372
8801,AES-128-GCM,16,1741,4444,2636,0,752,116.1,121.5,540,566,26,164,121.8,127.2,569.3171156,594.5577758,25.2406603,0.001741,25.2406603,3388
8901,AES-128-GCM,16,1742,4444,2636,0,752,117.2,120.9,548,564,16,165,122.9,126.6,574.4587315,591.753258,17.2945265,0.001742,17.2945265,3388
9001,AES-128-GCM,16,1741,4444,2840,0,752,117.7,122.6,550,574,24,166,123.4,128.3,576.7958297,599.6993918,22.90356212,0.001741,22.90356212,3592
9101,AES-128-GCM,16,1742,4444,2636,0,752,111.2,120.9,522,564,42,167,116.9,126.6,546.4135534,591.753258,45.3397046,0.001742,45.3397046,3388
9301,AES-128-GCM,16,1741,4444,2844,0,752,116.3,121.7,544,566,22,169,122,127.4,570.2519548,595.4926151,25.2406603,0.001741,25.2406603,3596
9601,AES-128-GCM,16,1740,4444,2620,0,752,117.7,121.7,550,566,16,172,123.4,127.4,576.7958297,595.4926151,18.6967854,0.00174,18.6967854,3372
9701,AES-128-GCM,16,1742,4444,2652,0,752,116.3,120,544,560,16,173,122,125.7,570.2519548,587.5464813,17.2945265,0.001742,17.2945265,3404
9801,AES-128-GCM,16,1742,4444,2860,0,752,117.2,121.5,548,566,18,174,122.9,127.2,574.4587315,594.5577758,20.09904431,0.001742,20.09904431,3612
9901,AES-128-GCM,16,1739,4444,2860,0,752,118.1,121.1,550,566,16,175,123.8,126.8,578.6655083,592.6880973,14.02258905,0.001739,14.02258905,3612
10001,AES-128-GCM,16,1742,4444,2856,0,752,115.9,119.4,540,558,18,176,121.6,125.1,568.3822763,584.7419635,16.35968723,0.001742,16.35968723,3608
10101,AES-128-GCM,16,1741,4444,2624,0,752,112,121.7,524,566,42,177,117.7,127.4,550.1529105,595.4926151,45.3397046,0.001741,45.3397046,3376
10201,AES-128-GCM,16,1741,4444,2856,0,752,113.1,120.7,528,564,36,178,118.8,126.4,555.2945265,590.8184188,35.52389227,0.001741,35.52389227,3608
10301,AES-128-GCM,16,1740,4444,2616,0,752,117.2,120,548,560,12,179,122.9,125.7,574.4587315,587.5464813,13.08774978,0.00174,13.08774978,3368
10401,AES-128-GCM,16,1741,4444,2636,0,752,116.4,117.6,544,550,6,180,122.1,123.3,570.7193745,576.3284101,5.609035621,0.001741,5.609035621,3388
10501,AES-128-GCM,16,1741,4444,2620,0,752,115.3,119,538,558,20,181,121,124.7,565.5777585,582.872285,17.2945265,0.001741,17.2945265,3372
10601,AES-128-GCM,16,1742,4444,2620,0,752,117.2,121.3,548,566,18,182,122.9,127,574.4587315,593.6229366,19.16420504,0.001742,19.16420504,3372
10701,AES-128-GCM,16,1741,4444,2836,0,752,118.3,120.9,554,564,10,183,124,126.6,579.6003475,591.753258,12.15291051,0.001741,12.15291051,3588
10801,AES-128-GCM,16,1742,4444,2856,0,752,119,121.5,558,566,8,184,124.7,127.2,582.872285,594.5577758,11.68549088,0.001742,11.68549088,3608
10901,AES-128-GCM,16,1742,4444,2848,0,752,115.5,120.7,540,564,24,185,121.2,126.4,566.5125977,590.8184188,24.30582103,0.001742,24.30582103,3600
11001,AES-128-GCM,16,1742,4444,2836,0,752,111,121.1,548,566,18,186,116.7,126.8,545.4787142,592.6880973,47.20938315,0.001742,47.20938315,3588
11101,AES-128-GCM,16,1741,4444,2616,0,752,112.2,121.1,524,566,42,187,117.9,126.8,551.0877498,592.6880973,41.60034752,0.001741,41.60034752,3368
11201,AES-128-GCM,16,1741,4444,2756,0,752,116.1,120.5,544,564,20,188,121.8,126.2,569.3171156,589.8835795,20.56646394,0.001741,20.56646394,3508
11301,AES-128-GCM,16,1742,4444,2636,0,752,116.8,120.7,544,564,20,189,122.5,126.4,572.589053,590.8184188,18.22936577,0.001742,18.22936577,3388
11401,AES-128-GCM,16,1742,4444,2636,0,752,114.2,121.3,534,566,32,190,119.9,127,560.4361425,593.6229366,33.18679409,0.001742,33.18679409,3388
11501,AES-128-GCM,16,1742,4444,2856,0,752,115.3,122.2,538,570,32,191,121,127.9,565.5777585,597.8297133,32.25195482,0.001742,32.25195482,3608
11701,AES-128-GCM,16,1742,4444,2840,0,752,116.6,119.8,544,560,16,193,122.3,125.5,571.6542137,586.6116421,14.95742832,0.001742,14.95742832,3592
12101,AES-128-GCM,16,1741,4444,2856,0,752,112.9,120,524,560,36,204,118.6,125.7,554.3596872,587.5464813,33.18679409,0.001741,33.18679409,3608
12401,AES-128-GCM,16,1742,4444,2636,0,752,115.1,120.5,538,560,22,207,120.8,126.2,564.6429192,589.8835795,25.2406603,0.001742,25.2406603,3388
12501,AES-128-GCM,16,1741,4444,2836,0,752,113.6,121.8,528,566,38,208,119.3,127.5,557.6316247,595.9600348,38.32841008,0.001741,38.32841008,3588
12601,AES-128-GCM,16,1742,4444,2636,0,752,115.7,121.3,538,564,26,209,121.4,127,567.447437,593.6229366,26.17549957,0.001742,26.17549957,3388
12701,AES-128-GCM,16,1742,4444,2636,0,752,115.9,120.5,540,560,20,210,121.6,126.2,568.3822763,589.8835795,21.50130321,0.001742,21.50130321,3388
12801,AES-128-GCM,16,1742,4444,2636,0,752,109.7,120,512,558,46,211,115.4,125.7,539.4022589,587.5464813,48.14422242,0.001742,48.14422242,3388
