id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
12001,ASCON-128,16,1370,4444,2636,0,80,115.5,119.8,540,560,20,154,121.2,125.5,566.5125977410947,586.611642050391,20.099044309296232,0.00137,20.099044309296232,2716
12101,ASCON-128,16,1369,4444,2636,0,80,114.0,119.4,534,560,26,155,119.7,125.10000000000001,559.5013032145961,584.7419635099914,25.240660295395287,0.001369,25.240660295395287,2716
12201,ASCON-128,16,1369,4444,2640,0,80,111.6,120.4,524,564,40,156,117.3,126.10000000000001,548.2832319721981,589.4161598609905,41.13292788879244,0.001369,41.13292788879244,2720
12401,ASCON-128,16,1374,4444,2636,0,80,113.1,119.6,530,560,30,159,118.8,125.3,555.2945264986968,585.6768027801911,30.38227628149434,0.001374,30.38227628149434,2716
12501,ASCON-128,16,1370,4444,2640,0,80,113.1,119.4,530,560,30,160,118.8,125.10000000000001,555.2945264986968,584.7419635099914,29.447437011294596,0.00137,29.447437011294596,2720
12601,ASCON-128,16,1370,4444,2636,0,80,109.9,119.8,514,560,46,161,115.60000000000001,125.5,540.3370981754996,586.611642050391,46.27454387489138,0.00137,46.27454387489138,2716
12701,ASCON-128,16,1373,4444,2636,0,80,115.9,119.6,544,560,16,162,121.60000000000001,125.3,568.3822762814945,585.6768027801911,17.294526498696655,0.001373,17.294526498696655,2716
12801,ASCON-128,16,1369,4444,2616,0,80,115.3,117.7,540,550,10,163,121.0,123.4,565.5777584708949,576.7958297132928,11.218071242397968,0.001369,11.218071242397968,2696
12901,ASCON-128,16,1369,4444,2636,0,80,115.5,118.9,540,558,18,164,121.2,124.60000000000001,566.5125977410947,582.4048653344918,15.892267593397037,0.001369,15.892267593397037,2716
13001,ASCON-128,16,1374,4444,2636,0,80,115.5,119.8,540,560,20,165,121.2,125.5,566.5125977410947,586.611642050391,20.099044309296232,0.001374,20.099044309296232,2716
13101,ASCON-128,16,1369,4444,2844,0,80,113.1,119.4,530,558,28,166,118.8,125.10000000000001,555.2945264986968,584.7419635099914,29.447437011294596,0.001369,29.447437011294596,2924
13201,ASCON-128,16,1369,4444,2636,0,80,112.0,119.2,524,558,34,167,117.7,124.9,550.1529105125978,583.8071242397915,33.65421372719368,0.001369,33.65421372719368,2716
13301,ASCON-128,16,1370,4444,2636,0,80,113.6,118.3,530,554,24,168,119.3,124.0,557.6316246741964,579.6003475238923,21.96872284969595,0.00137,21.96872284969595,2716
13701,ASCON-128,16,1370,4444,2580,0,80,110.8,119.8,518,560,42,173,116.5,125.5,544.5438748913988,586.611642050391,42.06776715899218,0.00137,42.06776715899218,2660
13801,ASCON-128,16,1368,4444,2828,0,80,115.9,120.0,544,560,16,174,121.60000000000001,125.7,568.3822762814945,587.5464813205908,19.164205039096373,0.001368,19.164205039096373,2908
13901,ASCON-128,16,1373,4444,1420,0,80,109.4,119.8,512,560,48,175,115.10000000000001,125.5,538.0,586.611642050391,48.61164205039097,0.001373,48.61164205039097,1500
