size,n_time_ascon,mean_time_ascon,median_time_ascon,std_time_ascon,ci95_low_time_ascon,ci95_high_time_ascon,throughput_Bps_ascon,n_power_ascon,mean_power_ascon,median_power_ascon,std_power_ascon,ci95_low_power_ascon,ci95_high_power_ascon,n_mem_ascon,mean_mem_ascon,median_mem_ascon,std_mem_ascon,ci95_low_mem_ascon,ci95_high_mem_ascon,energy_uJ_ascon,energy_per_byte_uJ_ascon,total_duty_cycle_energy_uJ_ascon,total_duty_cycle_energy_per_byte_uJ_ascon,n_time_aes,mean_time_aes,median_time_aes,std_time_aes,ci95_low_time_aes,ci95_high_time_aes,throughput_Bps_aes,n_power_aes,mean_power_aes,median_power_aes,std_power_aes,ci95_low_power_aes,ci95_high_power_aes,n_mem_aes,mean_mem_aes,median_mem_aes,std_mem_aes,ci95_low_mem_aes,ci95_high_mem_aes,energy_uJ_aes,energy_per_byte_uJ_aes,total_duty_cycle_energy_uJ_aes,total_duty_cycle_energy_per_byte_uJ_aes,ascon_minus_aes_energy,ascon_minus_aes_total_energy
336,520.0,1753.7576923076922,1753.0,2.085581860548883,1753.5780173200806,1753.9373672953038,191588.610829055,520.0,20.571857247878096,20.566463944396105,14.26917010673343,19.342553804722453,21.80116069103374,520.0,2783.151923076923,2716.0,218.33926949854404,2764.3417740799614,2801.962072073885,36.07805289352196,0.1073751574211963,1026.078052893522,3.053803728849768,410.0,2029.4829268292683,2030.0,0.7505181385519909,2029.410064271484,2029.5557893870528,165559.4119852708,410.0,24.85418406052001,23.37098175499557,10.959152550838931,23.79023657545532,25.918131545584707,410.0,3438.7609756097563,3388.0,229.1648416200502,3416.512963660307,3461.0089875592057,50.4411422110975,0.1501224470568378,1040.4411422110975,3.096551018485409,-0.042747289635641506,-0.04274728963564112
352,526.0,1772.6596958174905,1772.0,2.063785496112284,1772.482920291812,1772.836471343169,198571.6721774224,526.0,21.05432208065065,21.03388357949609,14.158829147974688,19.84153399277025,22.26711016853104,526.0,2787.0456273764257,2716.0,182.52490974133323,2771.411281205408,2802.679973547444,37.32214817512965,0.1060288300429819,1027.3221481751295,2.9185288300429817,424.0,2043.9221698113208,2044.0,0.7694393337707846,2043.848721139424,2043.9956184832183,172217.90790228275,424.0,14.7501762208416,13.087749782797571,10.993641748040174,13.700751853942888,15.79960058774031,424.0,3432.066037735849,3376.0,212.7560348861598,3411.756901570475,3452.375173901223,30.14821218640191,0.0856483300750054,1020.1482121864019,2.8981483300750055,0.0203804999679765,0.020380499967976196
368,531.0,1791.954802259887,1791.0,2.012655832118577,1791.7832236115064,1792.1263809082675,205362.32249602745,531.0,21.14479671324861,21.501303214595964,14.521497584672494,19.906840929514043,22.382752496983176,531.0,2784.621468926553,2716.0,184.520372221147,2768.8911311513966,2800.3518067017103,37.89052001311492,0.1029633696008557,1027.8905200131148,2.7931807609052033,417.0,2058.340527577938,2058.0,0.713275697744173,2058.2718677263224,2058.409187429553,178784.80021623435,417.0,15.26679959247198,13.087749782797689,11.046945405135276,14.203421666207284,16.33017751873668,417.0,3449.1510791366904,3376.0,171.714372368533,3432.621869793969,3465.680288479412,31.42427232759542,0.0853920443684658,1021.4242723275954,2.7756094356728136,0.017571325232389898,0.01757132523238969
384,526.0,1811.182509505704,1810.0,2.1275870918114737,1811.0002689931648,1811.364750018242,212016.18168496937,526.0,21.35823370651409,21.03388357949609,14.82257247463494,20.08859204751064,22.627875365517543,526.0,2780.4543726235743,2716.0,213.2410235031085,2762.189008273939,2798.7197369732094,38.68365932317349,0.1007386961540976,1028.6836593231735,2.6788636961540977,412.0,2072.8009708737864,2073.0,0.7277596386218601,2072.730490494193,2072.87145125338,185256.57088925684,412.0,14.826959250293116,13.087749782797571,11.041563771210726,13.75763146045998,15.896287040126248,412.0,3437.097087378641,3376.0,204.8378393496968,3417.2594268294065,3456.9347479278754,30.733335529113635,0.0800347279404,1020.7333355291137,2.6581597279404003,0.020703968213697604,0.020703968213697355
400,530.0,1830.4415094339624,1830.0,2.0562444856093647,1830.266048805082,1830.6169700628425,218526.5128322479,530.0,19.934124551251585,20.56646394439616,14.092381355924228,18.73161283027928,21.13663627222388,530.0,2776.6245283018866,2716.0,224.7521898563843,2757.4462832778204,2795.802773325953,36.48824903283755,0.0912206225820938,1026.4882490328375,2.566220622582094,407.0,2087.2407862407863,2087.0,0.6516423896188375,2087.177288716141,2087.304283765432,191640.5632914149,407.0,15.756750352753825,14.957428323197291,10.719215466521131,14.71224548458238,16.801255220925267,407.0,3437.4054054054054,3388.0,199.09536856370497,3418.0050973936222,3456.8057134171886,32.888131994881675,0.0822203299872041,1022.8881319948816,2.5572203299872043,0.0090002925948897,0.009000292594889547
416,526.0,1849.6558935361213,1849.0,2.0906671207048326,1849.4768154391115,1849.834971633132,224906.6982965693,526.0,20.218120794283696,21.03388357949609,14.031250158707048,19.016260607067306,21.41998098150009,526.0,2784.2490494296576,2716.0,199.0610740189324,2767.198282250553,2801.2998166087623,37.39656628337205,0.0898955920273366,1027.396566283372,2.469703284335029,413.0,2101.5641646489103,2102.0,0.7299914163677325,2101.493554278304,2101.634775019517,197947.7985957652,413.0,15.098899157065231,13.087749782797571,11.569631022090611,13.979795677310028,16.218002636820433,413.0,3433.762711864407,3388.0,210.2804227193671,3413.4227760150857,3454.102647713728,31.73130539413593,0.0762771764282113,1021.7313053941359,2.456084868735904,0.0136184155991253,0.013618415599125022
432,522.0,1868.712643678161,1868.0,2.109705454568654,1868.5312405666489,1868.8940467896728,231175.18975507145,522.0,20.433043397212487,20.332754126846226,14.294373141287888,19.2039411264046,21.66214566802037,522.0,2776.009578544061,2716.0,217.7700761126513,2757.284609465777,2794.734547622345,38.183486545195535,0.0883877003361007,1028.1834865451956,2.3800543670027676,472.0,2115.5677966101694,2116.0,1.3144877090765534,2115.448905044314,2115.6866881760247,204200.4991247291,472.0,14.499911646468066,13.087749782797571,11.198781208552612,13.487014664347337,15.512808628588797,472.0,3450.008474576271,3388.0,170.39521916295573,3434.5967257400544,3465.420223412488,30.67554613296058,0.0710082086411124,1020.6755461329606,2.362674875307779,0.0173794916949883,0.017379491694988758
448,524.0,1887.7442748091603,1887.0,2.1160105435276617,1887.5626787269505,1887.9258708913703,237320.2800709276,524.0,20.43176859153341,20.09904430929629,14.55402090179912,19.182742123184607,21.68079505988221,524.0,2779.9312977099235,2716.0,231.20235037673743,2760.089505732745,2799.7730896871017,38.569954182892815,0.0860936477296714,1028.5699541828928,2.2959150763011,410.0,2130.4341463414635,2130.0,0.7379379702722089,2130.362505104245,2130.505787578681,210285.7770888334,410.0,16.828246911487362,15.6585577758471,11.737533933839725,15.688731821078814,17.96776200189591,410.0,3434.1658536585364,3388.0,224.1131215518504,3412.40827788441,3455.923429432663,35.85147184329795,0.0800256067930757,1025.851471843298,2.2898470353645046,0.0060680409365957005,0.006068040936595409
464,537.0,1906.8957169459964,1906.0,2.1152256102878297,1906.7164090504723,1907.0750248415204,243327.41212672228,537.0,20.689194239645875,20.099044309296232,14.492596166743676,19.460655351548155,21.917733127743595,537.0,2765.897579143389,2716.0,253.2590532883015,2744.428782790568,2787.36637549621,39.4521358826445,0.0850261549194924,1029.4521358826446,2.218646844574665,413.0,2144.782082324455,2145.0,0.7857767927112101,2144.706075964239,2144.858088684671,216338.9949141732,413.0,15.49728102523756,14.022589052997432,11.042023982218543,14.429211746412085,16.56535030406304,413.0,3449.762711864407,3388.0,166.97628418433138,3433.6114845425946,3465.913939186219,33.23829066767628,0.0716342471286126,1023.2382906676763,2.2052549367837853,0.0133919077908798,0.013391907790879731
480,527.0,1926.111954459203,1925.0,1.9724310369796767,1925.9431650994536,1926.280743818952,249206.69792258792,527.0,19.875534350956265,20.099044309296232,13.685895481254898,18.704373741249302,21.046694960663224,527.0,2782.506641366224,2716.0,226.4587176756985,2763.127600350618,2801.885682381829,38.28250431464139,0.0797552173221695,1028.2825043146413,2.142255217322169,482.0,2158.7510373443984,2159.0,1.3184477748417014,2158.633037436168,2158.869037252629,222350.79066388088,482.0,16.09106640085656,14.957428323197178,11.124917449805482,15.09539614132853,17.086736660384588,482.0,3454.804979253112,3388.0,183.944037340938,3438.3421508119814,3471.2678076942425,34.73660628482669,0.0723679297600556,1024.7366062848266,2.1348679297600555,0.007387287562113903,0.007387287562113709
